epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8704,2.57056,10.1369,1.76122,0.25274,0.01667,0.00102,0.00048,3.22684,10.1737,2.06272,0,0,0
2,14.7961,2.5568,9.83979,1.75494,0.25272,0.01667,0.00101,0.00047,3.27959,10.2366,2.09319,1.22525e-05,1.22525e-05,1.22525e-05
3,15.709,2.63865,10.7877,1.83178,0.25271,0.01667,0.00101,0.00047,3.31862,10.2733,2.12187,2.401e-05,2.401e-05,2.401e-05
4,16.5787,2.46072,9.85826,1.7931,0.25271,0.01667,0.00101,0.00047,3.34762,10.3279,2.13998,3.52725e-05,3.52725e-05,3.52725e-05
5,17.4402,2.43564,9.20476,1.6799,0.25275,0.01667,0.001,0.00046,3.35553,10.3154,2.15003,4.604e-05,4.604e-05,4.604e-05
6,18.314,2.39873,9.96713,1.71781,0.25273,0.01667,0.001,0.00045,3.39302,10.4292,2.16871,5.63125e-05,5.63125e-05,5.63125e-05
7,19.1679,2.5263,8.90429,1.74164,0.25266,0.01667,0.00098,0.00044,3.41641,10.5423,2.18015,6.609e-05,6.609e-05,6.609e-05
8,20.0265,2.70686,10.2191,1.90672,0.2526,0.01667,0.00097,0.00043,3.44623,10.7286,2.19192,7.53725e-05,7.53725e-05,7.53725e-05
9,20.9002,2.45433,10.6884,1.74439,0.25259,0.01667,0.00096,0.00043,3.46565,10.8036,2.19662,8.416e-05,8.416e-05,8.416e-05
10,21.7618,2.45391,9.7727,1.65532,0.25258,0.01667,0.00065,0.0004,3.49753,10.8858,2.20275,9.24525e-05,9.24525e-05,9.24525e-05
11,22.6246,2.49334,11.8517,1.6603,0.00098,0.01087,0.00232,0.0015,1.35315,5.27181,1.09086,0.00010025,0.00010025,0.00010025
12,23.8387,1.62889,6.03419,1.23203,0.0777,0.0375,0.05359,0.04346,1.11477,4.34742,0.98652,0.000107553,0.000107553,0.000107553
13,25.0815,1.33687,4.90834,1.03519,0.1499,0.18931,0.11839,0.08882,1.07802,3.72162,0.9334,0.00011436,0.00011436,0.00011436
14,26.3217,1.15207,3.96405,0.97399,0.26022,0.30362,0.22261,0.15854,1.03673,3.59095,0.8889,0.000120672,0.000120672,0.000120672
15,27.5556,1.25693,3.3687,0.97266,0.24937,0.46256,0.25869,0.1884,0.97378,3.56464,0.87143,0.00012649,0.00012649,0.00012649
16,28.7944,1.13959,3.6712,0.95926,0.25251,0.44457,0.26318,0.19686,1.00882,3.3162,0.88713,0.000131813,0.000131813,0.000131813
17,30.0324,1.07413,2.68427,0.94862,0.2492,0.42536,0.25897,0.18671,1.03761,3.21821,0.87601,0.00013664,0.00013664,0.00013664
18,31.2349,0.9716,3.06671,0.91426,0.24149,0.44424,0.23913,0.17374,0.99163,3.30229,0.87508,0.000140972,0.000140972,0.000140972
19,32.465,1.03299,2.71257,0.92489,0.27338,0.42683,0.24864,0.17339,0.97936,3.20202,0.88158,0.00014481,0.00014481,0.00014481
20,33.6724,0.93241,2.44852,0.89057,0.24465,0.5163,0.26826,0.18145,1.07517,3.20597,0.89889,0.000148153,0.000148153,0.000148153
21,34.8668,1.04381,2.30581,0.92653,0.34712,0.6776,0.33837,0.23117,1.04261,3.08298,0.90358,0.000151,0.000151,0.000151
22,36.1206,0.90552,2.26049,0.94098,0.29192,0.73732,0.33012,0.22711,0.96131,2.98785,0.88056,0.000153353,0.000153353,0.000153353
23,37.3397,0.93725,2.18304,0.90194,0.25521,0.63299,0.31891,0.22951,0.9085,2.85528,0.85882,0.00015521,0.00015521,0.00015521
24,38.5047,0.85924,2.10758,0.9166,0.31782,0.76413,0.37049,0.25023,1.00046,2.81821,0.86241,0.000156573,0.000156573,0.000156573
25,39.7363,0.91061,1.99428,0.92066,0.33691,0.76993,0.40742,0.28948,0.91727,2.79413,0.85921,0.00015744,0.00015744,0.00015744
26,40.9556,0.87577,1.8252,0.88493,0.3391,0.74819,0.4182,0.30856,0.84211,2.82597,0.85552,0.000157812,0.000157812,0.000157812
27,42.1805,0.83553,1.62321,0.86393,0.4068,0.73292,0.46183,0.34837,0.84931,3.08384,0.8556,0.00015769,0.00015769,0.00015769
28,43.3918,0.7235,1.74063,0.87564,0.4651,0.5779,0.45886,0.33174,0.87113,3.22977,0.85511,0.000157072,0.000157072,0.000157072
29,44.544,0.82585,1.74376,0.88351,0.47323,0.48363,0.4415,0.3303,0.79385,3.39173,0.84916,0.00015596,0.00015596,0.00015596
30,45.7182,0.72951,1.51681,0.86566,0.4428,0.44221,0.4361,0.3281,0.76124,3.47412,0.84362,0.000154352,0.000154352,0.000154352
31,46.8792,0.81859,1.58085,0.86463,0.53995,0.40181,0.44709,0.33358,0.81803,3.55112,0.8486,0.00015225,0.00015225,0.00015225
32,48.0303,0.83795,1.56702,0.87779,0.59712,0.40112,0.49398,0.38541,0.81424,3.3657,0.84719,0.000149652,0.000149652,0.000149652
33,49.2391,0.81454,1.46521,0.87971,0.71044,0.43381,0.56366,0.44067,0.75739,3.09567,0.84661,0.00014656,0.00014656,0.00014656
34,50.4504,0.67177,1.29699,0.83445,0.62591,0.56014,0.60128,0.47274,0.76909,2.82075,0.84543,0.000142972,0.000142972,0.000142972
35,51.6252,0.71157,1.32259,0.85814,0.66328,0.52404,0.57355,0.45282,0.77735,2.62205,0.84375,0.00013889,0.00013889,0.00013889
36,52.7773,0.72642,1.38178,0.87559,0.65557,0.56359,0.56659,0.45665,0.75744,2.31971,0.84235,0.000134313,0.000134313,0.000134313
37,53.8864,0.74147,1.24829,0.87141,0.77225,0.57444,0.60791,0.48784,0.78494,2.13473,0.83714,0.00012924,0.00012924,0.00012924
38,55.097,0.75671,1.24417,0.87459,0.7863,0.58115,0.62705,0.49928,0.77389,1.96986,0.83764,0.000123672,0.000123672,0.000123672
39,56.3815,0.77833,1.2912,0.85738,0.93307,0.56214,0.6589,0.5282,0.7476,1.81614,0.83899,0.00011761,0.00011761,0.00011761
40,57.722,0.74867,1.23702,0.85936,0.79463,0.64964,0.67216,0.54159,0.72358,1.70684,0.83988,0.000111052,0.000111052,0.000111052
41,65.667,0.64567,1.2562,0.82319,0.87425,0.60616,0.66241,0.53633,0.72759,1.61223,0.84154,0.000104,0.000104,0.000104
42,66.9689,0.61698,1.19806,0.80041,0.8624,0.59563,0.65817,0.5298,0.74373,1.52294,0.84091,9.64525e-05,9.64525e-05,9.64525e-05
43,68.1435,0.66277,1.22086,0.83929,0.87843,0.62075,0.67498,0.54257,0.75846,1.42508,0.84152,8.841e-05,8.841e-05,8.841e-05
44,69.3274,0.60782,1.15543,0.80524,0.90957,0.63776,0.69534,0.5666,0.72886,1.3478,0.83646,7.98725e-05,7.98725e-05,7.98725e-05
45,70.4788,0.64389,1.1294,0.83727,0.88768,0.68804,0.68942,0.57276,0.70763,1.31833,0.83353,7.084e-05,7.084e-05,7.084e-05
46,71.6288,0.61561,1.07114,0.82623,0.90955,0.68344,0.69431,0.59325,0.69966,1.30405,0.83342,6.13125e-05,6.13125e-05,6.13125e-05
47,72.7722,0.5873,1.03693,0.79741,0.90421,0.67486,0.6919,0.5935,0.70309,1.30688,0.83219,5.129e-05,5.129e-05,5.129e-05
48,73.8754,0.58779,1.0539,0.82841,0.88696,0.676,0.69613,0.58962,0.71642,1.29794,0.83364,4.07725e-05,4.07725e-05,4.07725e-05
49,74.9748,0.55661,1.00034,0.82519,0.88325,0.67707,0.6955,0.57525,0.72552,1.29538,0.83497,2.976e-05,2.976e-05,2.976e-05
50,76.0596,0.60435,1.04032,0.81992,0.87723,0.67275,0.6972,0.57451,0.72502,1.29288,0.83533,1.82525e-05,1.82525e-05,1.82525e-05
